review_count,new_id,city,rating,restaurant_name,longitude,restaurant_id,full_address,state,latitude
69,24,Scottsdale,3.5,Five Guys Burgers and Fries,-111.9254565,jqZKv-7F54guDLalXEjHxg,"15435 N Scottsdale Rd
Ste 100
Scottsdale, AZ 85260",AZ,33.6265775
24,25,Phoenix,3.5,Paradise Bakery & Cafe,-112.1117309,dzSPa5kkpQIRjMOHvDUF_Q,"2370 W Happy Valley Rd
Phoenix, AZ 85085",AZ,33.7129653
13,26,Scottsdale,3.5,Sonic Drive-In,-111.9093213,kIco4kv-FHT6QqdkDQ2cow,"2870 N Hayden Rd
Scottsdale, AZ 85257",AZ,33.4796348
22,27,Chandler,3.5,Draft House On The Reef,-111.8463705,2qbajPD8M7PJlWWaHSRR5Q,"393 W Warner Rd
Chandler, AZ 85225",AZ,33.3344463
47,28,Mesa,4.0,Giant Hamburgers,-111.7716542,AoO0FJyUm01lmIJJTcPWEQ,"2753 E Broadway
Ste 104
Mesa, AZ 85204",AZ,33.4064076
17,29,Phoenix,3.0,Tee Pee Tap Room,-112.0657857,eK6KGMKqU_4nB9RdayZD7Q,"602 E Lincoln St
Phoenix, AZ 85004",AZ,33.4423368
70,30,Scottsdale,3.0,Cold Beers & Cheeseburgers,-111.924676895142,umdxfhSlk67yGEi8-S-bEg,"20831 N Scottsdale Rd
Ste 117
Scottsdale, AZ 85255",AZ,33.6765685033475
18,31,Phoenix,2.5,Jody Maroni's Sausage Kingdom,-112.0178286,YowLDN2YEKVJpHv0Loqm5A,"Sky Harbor Airport - Terminal 4
3400 Sky Harbor Blvd
Phoenix, AZ 85034",AZ,33.4382789
58,32,Phoenix,3.5,5th Avenue Cafe,-112.080631,HQFscafV3wi5z4yOKdUGRg,"501 W Thomas Rd
Phoenix, AZ 85013",AZ,33.480016
549,33,Phoenix,4.0,Gallo Blanco Cafe,-112.079081,-sC66z4SO3tR7nFCjfQwuQ,"401 W Clarendon Ave
Phoenix, AZ 85013",AZ,33.49112
4,34,Phoenix,2.5,Turk's Fish and Chips,-112.073079,hBodj_f6adUAnEVUb_he_A,"6607 S Central Ave
Phoenix, AZ 85042",AZ,33.386417
5,35,Mesa,3.0,Souper Salad,-111.862526,1J1iid_qU__8_CxiS2Zw4Q,"1457 W Southern Ave
Mesa, AZ 85202",AZ,33.3925142
9,36,Tempe,2.5,Port of Subs,-111.9619158,6ZYt8IChJmH3Ra5IqnlivA,"1342 W Warner Rd
Tempe, AZ 85281",AZ,33.3345479
28,37,Tempe,3.5,Sushi Time,-111.9285013,y8a480EiwWikqlR1inkGxg,"5136 S Rural Rd
Tempe, AZ 85282",AZ,33.3792532
4,38,Mesa,3.5,Ub's Restaurant & Bar,-111.872612,qgVS6sBe7JNEI8otg0Y3dg,"1911 W Broadway Rd
Ste 1
Mesa, AZ 85202",AZ,33.407138
108,39,Tempe,3.5,Z'Tejas Southwestern Grill,-111.9409053,hyff2JyqQgf85MaJZslHCg,"20 W 6th St
Tempe, AZ 85281",AZ,33.4245625
30,40,Mesa,3.5,Matta's Grill and Cantina,-111.866054534912,qBc36uFI7orWS8NpYZCv_w,"1033 N Dobson Rd
Suite 101
Mesa, AZ 85201",AZ,33.4351659963261
31,41,Phoenix,3.0,Zaytoon Kabob Bistro,-112.047066,6lcay-E_ssmzpGanKbColg,"4811 N 16th St
Ste 104
Phoenix, AZ 85016",AZ,33.507549
6,42,Phoenix,3.0,Del Taco,-111.977264,sH17KGxbMVrlr66n92Qh8g,"16649 N Tatum Blvd
Phoenix, AZ 85032",AZ,33.638672
326,43,Phoenix,4.0,Windsor,-112.07341192283,FURgKkRFtMK5yKbjYZVVwA,"5223 N Central Ave
Phoenix, AZ 85012",AZ,33.513697188158
7,44,Tempe,3.5,Taco del Mar,-111.9080584,Fb_mZcgCgvK60E3hymcpyw,"1804 E Southern Ave
Tempe, AZ 85282",AZ,33.3931628
5,45,Phoenix,2.5,Burger Betty's,-112.06434,OwHqwmHwswArpv3m3dlw_Q,"5111 N 7th St
Phoenix, AZ 85014",AZ,33.511332
12,46,Phoenix,2.0,Nathans Famous Hotdogs,-111.996914148331,kMxYp2GZL5ic6b05gPP57Q,"3800 W Sky Harbor Blvd
T4/S3
Phoenix, AZ 85034",AZ,33.4341094982183
40,47,Glendale,4.0,Oscar's Pier 83 fish and chips,-112.184993,bzXDUQ-5Odzx5WZNoSoANg,"18589 N. 59th avenue
Glendale, AZ 85308",AZ,33.65316
121,48,Phoenix,3.5,Great Wall Cuisine,-112.134201,0db71MbrvcJnyk71COCJBg,"5057 N 35th Ave
Phoenix, AZ 85017",AZ,33.5108735
5,49,Scottsdale,4.5,Java Me Craze',-111.9315649,WVs0Q355wHQ4d1KZOHReZA,"6900 E Camelback Rd
Ste A38
Scottsdale, AZ 85251",AZ,33.502612
3,50,Goodyear,1.0,KFC,-112.3411836,8HmSt7fRFe-uH6i4yCmJQQ,"1470 N Dysart Rd
Goodyear, AZ 85338",AZ,33.4517561
21,51,Mesa,3.5,Burrito Express,-111.8564229,qdA4qiSXjaiuqO4SueH9VA,"450 N Alma School R
Mesa, AZ 85201",AZ,33.4234775
3,52,Chandler,4.5,Uno Stop,-111.8425,qnKX52X6N9tp5qcK3QankA,"30 W Galveston St
Chandler, AZ 85225",AZ,33.313742
3,53,Glendale,3.5,Tortas La Presa #2,-112.1542252,3VTBObOAUyDQfpsndTz_pg,"4425 W Glendale Avenue
Glendale, AZ 85301",AZ,33.5384488
12,54,Tempe,4.0,Tailgate Sports Bar & Grill,-111.952872,h-9z4dgdEghdPLeDMLpDYA,"930 W Broadway Rd
Tempe, AZ 85282",AZ,33.407724
3,55,Gilbert,3.5,Chipotle,-111.74286306603,In93N5Jqu85xAh0qQ2jb1w,"2224 E Williams Field Rd
Gilbert, AZ 85297",AZ,33.307805088942
4,56,Tempe,3.5,Boston Market,-111.9089862,nih6RQC-HttWiO28HOcfOA,"3435 S McClintock Dr
Tempe, AZ 85282",AZ,33.3912468
89,57,Tempe,4.0,Picazzo's Organic Italian Kitchen,-111.9445728,3jqOv6re-xPYOg7srmi7tg,"440 W Warner Rd
Tempe, AZ 85284",AZ,33.3350531
3,58,Surprise,3.0,Jack in the Box,-112.419796,h_FP6Lho52MIorjH8GuerQ,"16760 W Bell Rd
Surprise, AZ 85374",AZ,33.639044
4,59,Phoenix,3.0,Jack in the Box,-111.978816,rSZj7lgBxREaMhGMnjuZ3g,"4741 E McDowell Rd
Phoenix, AZ 85008",AZ,33.465334
29,60,Surprise,4.0,NYPD Pizza,-112.361552,kN8792XEJfCtpD5GJLmI6g,"13980 W Bell Rd
Ste 1
Surprise, AZ 85374",AZ,33.64032
22,61,Phoenix,3.5,Mel's Diner,-112.0981742,lnX2gaGdO0fNtykyFrp1AA,"1747 Grand Ave
Phoenix, AZ 85007",AZ,33.4643554
9,62,Scottsdale,2.5,LV Bistro,-111.9189477,oRwWdpARqCjam6k_za8wOA,"The Scottsdale Princess Hotel
7575 E. Princess Drive
Scottsdale, AZ 85255",AZ,33.6462961
22,63,Chandler,3.5,Siracha Lounge,-111.8426724,um2sEf_ITsCc536kPQ6Umg,"91 W Boston St
Chandler, AZ 85224",AZ,33.3021786
3,64,Scottsdale,3.0,Pizza Hut,-111.83734988227,Xn06AozwcTvUPFNkknbgnw,"11291 E Via Linda
Ste 128
Scottsdale, AZ 85259",AZ,33.587109615647
11,65,Casa Grande,3.0,China Buffet,-111.7157877,WxLMUX59m6sSszVNLnHDEw,"1677 E Florence Boulevard
Casa Grande, AZ 85222",AZ,32.8786089
23,66,Phoenix,3.0,Smashburger,-111.9746066,qAORECtABjr_FsvSzy1apw,"21001 N  Tatum Blvd
Ste 34-1140
Phoenix, AZ 85050",AZ,33.678615
3,67,Phoenix,4.0,Fuddruckers,-112.040429,-yPdEze6bYRV2Sm1t4XJhg,"1928 E Highland Ave
Phoenix, AZ 85016",AZ,33.5056919
15,68,Gilbert,3.5,Native New Yorker,-111.756931,aZFxdrDmfO10e3k2LNNFPw,"110 S Val Vista Dr
Gilbert, AZ 85296",AZ,33.347758
28,69,Scottsdale,3.0,Tokyo Express,-111.9271068,EuNV8_SReV_3KeET2Ums6A,"3530 N Goldwater Blvd
Scottsdale, AZ 85251",AZ,33.4892464
6,70,Phoenix,4.5,Weather & Coffee,-112.004291,QQ-lSbz4ARm1MQA5z8-nAw,"3607 East Bell Road, Ste.
#1
Phoenix, AZ 85032",AZ,33.640076
7,71,Scottsdale,2.5,Jack-In-the Box,-111.9078794,_dVPzYGXKNg2rIsc40VtyA,"8030 E Indian School Rd
Scottsdale, AZ 85251",AZ,33.4952011
44,72,Goodyear,4.0,Akai Hana Sushi & Grill,-112.39201426506,x0NOgX6P4x-82cC0kcO1hg,"2293 N Pebble Creek Pkwy
Ste 101
Goodyear, AZ 85338",AZ,33.4720905777243
12,73,Glendale,3.0,Brother's Pizza,-112.202473,Dim6R6ki5Z_05bk_V1htbQ,"6635 W Happy Valley Road Suite A104
Glendale, AZ 85310",AZ,33.710671
26,74,Scottsdale,5.0,Ocean Trail,-111.865693,e8Eke5v8pXw-PuRCu2uPjg,"Talking Stick Resort
9800 E Indian Bend Rd
Scottsdale, AZ 85256",AZ,33.538873
7,75,Phoenix,2.5,Papa John's,-112.077889,JUe_TAe9T9MZXutb5fblDg,"231 W Thomas Rd
Phoenix, AZ 85013",AZ,33.4802381
141,76,Phoenix,4.0,Pomegranate Cafe,-111.99506,lVkDZZ8sTafPlq7f1i5row,"4025 E Chandler Blvd
Ste 28
Phoenix, AZ 85048",AZ,33.3051122
6,77,Apache Junction,2.5,Grand Buffet,-111.5722283,u2hGxSbpIOZZ3KliIELuTQ,"2430 W Apache Trl
Apache Junction, AZ 85220",AZ,33.4160688
9,78,Goodyear,3.0,Picazzo's Gourmet Pizza,-112.380047,SDs4eWoV-cpJystzTAH0qg,"14970 W Indian School Rd
Goodyear, AZ 85395",AZ,33.492737
6,79,Scottsdale,3.5,Port of Subs and Smoothie King,-111.9258402,cof7qW-PD0M7Jykclg48oQ,"3737 N Scottsdale Rd
Scottsdale, AZ 85251",AZ,33.4916179
65,80,Chandler,4.0,Mikado Sushi,-111.857235,cfy-C6XNFt-F-dCQfK7EDQ,"3125 S Alma School Rd
Chandler, AZ 85248",AZ,33.261388
5,81,Goodyear,3.5,Schlotzsky's,-112.357595,-_JBgygYYD_UkuD-GVTp6A,"395 N Litchfield Rd
Goodyear, AZ 85338",AZ,33.451414
8,82,Phoenix,4.5,Little Dragon Chinese Restaurant,-112.1530731,LeTMz4hrsdHhiS-vNBj82A,"4327 W Thomas Road
Phoenix, AZ 85031",AZ,33.4803555
107,83,Scottsdale,3.0,American Junkie,-111.919817,-9pVS__IliMA2aNEYzrQrg,"4363 N 75th St
Scottsdale, AZ 85251",AZ,33.500169
14,84,Phoenix,3.0,Port of Subs,-112.098958,wzQAmzQopWcfoCG8lfiE_w,"1855 W Deer Valley Rd
Phoenix, AZ 85027",AZ,33.683666
21,85,Phoenix,3.0,Greek Patio,-112.0739,Gw8DsQQCO5m1hggXqwynFg,"402 E Greenway Blvd
Phoenix, AZ 85073",AZ,33.4499
11,86,Phoenix,3.5,Culver's,-111.9862419,zwHM6hz8swKIG-4-BSKMPA,"4506 E Cactus Rd
Phoenix, AZ 85032",AZ,33.5998438
4,87,Phoenix,1.0,TGI Friday's,-112.11578,Q5diW79GD0MSJ10j1HCf8Q,"11025 N Black Canyon Hwy
Phoenix, AZ 85073",AZ,33.586891
3,88,Phoenix,2.0,Panda Express,-112.1696984,LtdVdYhs7MAwwTBuHhdsFQ,"5229 W Indian School Rd
Phoenix, AZ 85031",AZ,33.4950075
15,89,Scottsdale,4.0,The Corn Flower,-111.977313,7vz3HGtHzvz1JjiphH9uOQ,"4807 E Greenway Rd
Ste 5
Scottsdale, AZ 85254",AZ,33.625322
8,90,Cave Creek,3.0,Rosati's Pizza,-111.977509,4KYZxeMyZ5YUp5GvmmCd-Q,"28325 N Tatum Blvd
Cave Creek, AZ 85331",AZ,33.742499
3,91,Mesa,3.5,Gusto's Pizza,-111.8660527,TI-4Yp-hvVimC3LJP0f59Q,"1620 W University Dr
Mesa, AZ 85201",AZ,33.4221397
4,92,Chandler,4.5,Sub Zone,-111.876964,d4-PiJfqs-_ChKyWuoa0_Q,"2080 N Dobson Rd
Chandler, AZ 85224",AZ,33.33652
88,93,Tempe,2.5,Macayo's Depot Cantina,-111.943236,FG_GRMLSj68ximzfrr9eWw,"300 S Ash Ave
Tempe, AZ 85281",AZ,33.427732
35,94,Chandler,4.0,Rumbi Island Grill,-111.9684653,jj-K19oswZARMwCQK-b37A,"885 N 54th St
Chandler, AZ 85226",AZ,33.3173142
72,95,Surprise,4.0,Big Buddha,-112.4159659,mjoxSQR7bFQtlIIjfNfaSQ,"16572 W Greenway Rd
Ste 115
Surprise, AZ 85388",AZ,33.6239817
477,96,Tempe,4.5,Green,-111.927165985107,c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd
Tempe, AZ 85281",AZ,33.4537869019623
50,97,Chandler,4.5,Tokyo House,-111.859488487244,l1kqHWtICTNk8TdCNisf5A,"2050 N Alma School Rd
Ste 5
Chandler, AZ 85224",AZ,33.3365788066646
3,98,Gilbert,3.5,Chef H,-111.773654,NB3Oli21be-k4r_iy4oC0Q,"3107 S Lindsay Rd
Gilbert, AZ 85296",AZ,33.293754
7,99,Maricopa,4.5,Romy's BBQ,-112.043887,vJ_mfmsWhFJBVNztbk003g,"44301 W Maricopa Casa Grande Hwy
Maricopa, AZ 85239",AZ,33.0546833
4,100,Phoenix,4.0,Jack-In-the Box Drive Thru,-112.097743,tEvGNTPLV01OiUt_SKn2Ww,"1802 W Bell Road
Phoenix, AZ 85023",AZ,33.640581
4,101,Scottsdale,3.5,Dairy Queen,-111.9264432,Pl1qDTX90DSLHo-ZAlAh9w,"2230 N Scottsdale Road
Scottsdale, AZ 85257",AZ,33.4726716
13,102,Phoenix,3.0,Rosati's Pizza,-112.0323812,qP_IDUD0G_iTZitOypzrzA,"2320 E Baseline Rd
Phoenix, AZ 85042",AZ,33.3778548
3,103,Phoenix,3.5,Charley's Grilled Subs,-112.12371,MQjBx1iVmIz6uI9T0DIkKw,"3013 W Agua Fria Fwy
Ste 3
Phoenix, AZ 85027",AZ,33.666682
3,104,Scottsdale,3.5,Lucy's Cafe & Grill,-111.915163,xPSLlgEewbXbjsy-LdsBsg,"7678 E Greenway Rd
Ste 104
Scottsdale, AZ 85260",AZ,33.6260369
3,105,Buckeye,4.5,El Pollo Loco,-112.5564814,1PM40DbmTVCNgENzZfs1kg,"758 S Watson Rd
Buckeye, AZ 85326",AZ,33.4393455
3,106,Scottsdale,3.5,The Apple Cafe,-111.8970223,U7sejo2TGadsrAIdxCRKeQ,"15040 N Northsight Blvd
Scottsdale, AZ 85260",AZ,33.6223725
21,107,Glendale,2.5,Pete's Fish & Chips,-112.1783249,Yw86Jnab9ixke9xJ5pLhMQ,"5516 W Glendale Ave
Glendale, AZ 85301",AZ,33.5385792
193,108,Phoenix,4.5,Pizza A Metro,-112.1091081,XkNQVTkCEzBrq7OlRHI11Q,"2336 W Thomas Rd
Phoenix, AZ 85015",AZ,33.4806776
26,109,Phoenix,3.5,Gil's Taste of Taos,-112.047055,NBwPgX7L2D-EZedgo3A-pw,"1601 E Bell Rd
Ste A-8
Phoenix, AZ 85022",AZ,33.639747
32,110,Tempe,3.0,Jimmy John's,-111.9286939,0NhcabzEyeCIMsNCPOX-MQ,"5128 Rural Rd
Tempe, AZ 85282",AZ,33.3785219
3,111,Phoenix,2.0,McDonald's,-112.061875,nQOfSLVkN6GnBCYKSc0vYg,"926 E Indian School Rd
Phoenix, AZ 85012",AZ,33.495238
5,112,Chandler,1.5,McDonald's,-111.8579232,cwyAZ52cV60e-NiF-jWCMQ,"3185 S Alma School Rd
Chandler, AZ 85248",AZ,33.2596494
16,113,Mesa,3.0,Native New Yorker,-111.788226,zBGfa6Vx4K59v8OR81gzJg,"1559 S Gilbert Rd
Mesa, AZ 85204",AZ,33.3876436
3,114,Anthem,4.0,Persimmon Bar & Grille,-112.110251,HrTXmtWrsgmWnoqV5nbTGg,"Anthem Country Club
2708 W Anthem Club Dr
Anthem, AZ 85086",AZ,33.865303
30,115,Chandler,3.5,Pita Heaven,-111.88557,7-vGQpfj0RcOD-Cy7CXDiA,"2580 W Chandler Blvd
Ste 3
Chandler, AZ 85224",AZ,33.306806
61,116,Mesa,3.5,Taiwan Food Express,-111.875779,Cota2ttLUjoKhFU6ukYqSA,"66 S Dobson Rd
Ste 148
Mesa, AZ 85202",AZ,33.413158
48,117,Glendale,4.0,Which Wich Superior Sandwiches,-112.259674072266,yA9gOueRPoQ4-Y8Xdu8k3Q,"9404 W Westgate Blvd
Glendale, AZ 85305",AZ,33.5356713795255
5,118,Phoenix,3.5,Left Seat Restaurant & Lounge,-112.026154,QAqD40DAbYXBcw1oX3AJyw,"2633 E Air Ln
Gate 108
Phoenix, AZ 85034",AZ,33.439648
3,119,Goodyear,1.5,El Paso Grill & Bar-B-Que,-112.3584488,vEMAPsmkqav9TbZUw34xdA,"1480 N Litchfield Rd
Goodyear, AZ 85338",AZ,33.4634252
11,120,Scottsdale,3.0,Culver's,-111.893676720267,uZdGSJdWbQpLDsuV9mP79g,"8668 E Shea Blvd
Scottsdale, AZ 85260",AZ,33.5827091181461
15,121,Phoenix,4.0,Perc Up Coffee Cafe,-112.0649666,Lfm0zMACRFYpUZR_xGMYAQ,"2325 N 7th St
Phoenix, AZ 85006",AZ,33.4741375
20,122,Phoenix,3.0,Steamers Genuine Seafood,-112.0255251,OypZxwm-jS9QfUwgBmzeyw,"2576 E Camelback Rd
Phoenix, AZ 85016",AZ,33.5097281
18,123,Avondale,4.5,Starlight Cuisine,-112.286067,kIQ646tVxDv0Tyv2Tuz_kA,"10575 W Indian School Rd
Ste 107
Avondale, AZ 85392",AZ,33.492985
4,124,Sun City,2.5,Coco's Family Restaurant,-112.2704632,IYVGbbABepLZ8j1bvrycLQ,"9801 W Bell Road
Sun City, AZ 85351",AZ,33.6378021
19,125,Scottsdale,3.5,Grapes,-111.92342,u8roVM7HO9Oiah2dNBHXrA,"7337 E Shea Blvd
Ste 105
Scottsdale, AZ 85260",AZ,33.581506
153,126,Phoenix,4.0,O.H.S.O. Eatery + nanoBrewery,-111.975898,wNsmt1hF1uv3YvbwXZMAoQ,"4900 E Indian School Rd
Phoenix, AZ 85018",AZ,33.495018
61,127,Scottsdale,4.0,Razz's Restaurant & Catering,-111.9258314,7lp13T_FUmX1XjU2wen_qw,"10315 N Scottsdale Rd
Scottsdale, AZ 85253",AZ,33.5802421
14,128,Scottsdale,3.0,Teakwood's Tavern & Grill,-111.889631,PQr-HtmAbVoHYOJcESS0AQ,"8880 E Via Linda
Ste 106
Scottsdale, AZ 85258",AZ,33.569524
36,129,Chandler,3.0,Buffalo Wild Wings,-111.8988633,TsD1cUoAas0Lv0UtT9-sdQ,"3163 W Chandler Blvd
Suite V120
Chandler, AZ 85226",AZ,33.2994442
30,130,Glendale,4.0,Vito's Pizza,-112.1525685,DfJRq4pqowfdTB4iTAENjQ,"4318 W Northern Ave
Glendale, AZ 85301",AZ,33.5532675
3,131,Mesa,4.5,Hong Kong Gourmet,-111.869177,YSZ-h3ZOp9WjESOGgBT-hQ,"1744 W Main St
Mesa, AZ 85201",AZ,33.4153049
269,132,Phoenix,4.0,NOCA,-112.0152845,DcrM4hwDcU2G6vuh2cnaYQ,"3118 E Camelback Rd
Phoenix, AZ 85016",AZ,33.5100097
8,133,Phoenix,4.0,Tortas El Güero,-111.9923032,he_b4txorHTrKjH5DnnmdQ,"4121 E Thomas Rd
Phoenix, AZ 85018",AZ,33.4801515
85,134,Chandler,3.0,C-Fu Gourmet Restaurant,-111.877429,z4KFTJQsAdxqMZA7Fx0A9A,"2051 W Warner Rd
Ste 13
Chandler, AZ 85224",AZ,33.3350458
140,135,Phoenix,4.0,Padre's Modern Mexican Cuisine,-112.0588374,6nseTZb6WrGWcithRThfag,"1044 E Camelback Rd
Phoenix, AZ 85014",AZ,33.5093453
5,136,Maricopa,2.0,McDonald's,-112.0473418,57RwRDqYrGrYJc2wwTgHLw,"20700 N John Wayne Pkwy
Maricopa, AZ 85139",AZ,33.066913
7,137,Peoria,3.5,Filiberto's,-112.238173,PONDGYxI1dswoYjrzeljbA,"13972 N 83rd Ave
Peoria, AZ 85381",AZ,33.611537
18,138,Tempe,3.0,The Bamboo Club,-111.9392896,my9uotsFBYJl9L66iS5EuQ,"699 S Mill Ave
Tempe, AZ 85281",AZ,33.4235796
9,139,Surprise,3.0,Red Embers Bar & Grill,-112.355665,XRdwAqzuG_SwVFFlOzLmEQ,"Uptown Alley
13525 N Litchfield Rd
Surprise, AZ 85379",AZ,33.6075896
63,140,Peoria,3.0,BJ's Restaurant & Brewhouse,-112.2692793,6v0vQm3wXzaFoEywvpbnqg,"9748 W. Northern Ave.
Peoria, AZ 85345",AZ,33.5517332
103,141,Phoenix,4.0,North Fattoria Italiana,-111.9953195,CSoURupWEyuyzkjMOExKPg,"North Arcadia
4925 N 40th St
Phoenix, AZ 85018",AZ,33.5087368
8,142,Phoenix,3.5,Potbelly Sandwich Shop,-112.0814642,i--afvRsP1TSJyQMZKgJiw,"534 W McDowell Rd
Phoenix, AZ 85003",AZ,33.4660407
7,143,Scottsdale,2.5,Summit Diner,-111.923919447631,wG9Aov3y0qRIicugJNAc0w,"32531 N Scottsdale Rd
Ste 101
Scottsdale, AZ 85266",AZ,33.7806577729887
6,144,Phoenix,4.0,Ralph's Snack Bar,-112.1560021,W8Gjzs5mxSU9aA77l-V9fA,"4501 W Van Buren St
Phoenix, AZ 85043",AZ,33.4513376
31,145,Peoria,3.5,Heidi's Brooklyn Deli,-112.2387233,NtmLlKfCFfM0K5j6WWKxQA,"8360 W Thunderbird Rd
Peoria, AZ 85381",AZ,33.610028
5,146,Phoenix,2.5,Jb's,-112.0977034,_1lXRQ2Qda8HDpUQUqTYwA,"1818 W Montebello Ave
Phoenix, AZ 85015",AZ,33.5196796
5,147,Phoenix,2.0,Filiberto's,-112.1089713,tIuw93p4MEsL2iFv7-0WDg,"2302 W Camelback
Phoenix, AZ 85015",AZ,33.5096533
44,148,Tempe,4.5,Curry Corner,-111.919995,x3ws2L-TlI-JPcEQjjEC9g,"1212 E Apache Blvd
Tempe, AZ 85281",AZ,33.415194
6,149,Phoenix,1.5,Burger King,-112.1335065,r67TiLEb5K1nnacFCEQ0jQ,"13635 N 35th Ave
Phoenix, AZ 85029",AZ,33.609824
53,150,Scottsdale,4.0,Goldmans Deli,-111.908547,TpQMR-JFE5V0UPzTjjuwFQ,"6929 N Hayden Rd
Ste C2
Scottsdale, AZ 85250",AZ,33.5376434
5,151,Chandler,2.5,McDonald's,-111.875061,z6V7Mb0fjHo_JT3l7dCKsA,"1900 W Warner Rd
Chandler, AZ 85224",AZ,33.335621
12,152,Wickenburg,4.0,Nana's Sandwich Saloon,-112.730548,udVKZfBZ3IyZf_mlTy0law,"48 N Tegner St
Wickenburg, AZ 85390",AZ,33.969076
21,153,Casa Grande,3.5,Tommy's Bistro,-111.742524,VQfqbRNkykoEo7Rj-D9M_Q,"913 E 8th St
Casa Grande, AZ 85222",AZ,32.880056
57,154,Scottsdale,4.0,Pars Persian Cuisine,-111.83632234045,50hOEQ2OutvIxrMjNml5bA,"11144 N Frank Lloyd Wright Blvd
Scottsdale, AZ 85259",AZ,33.587122088596
